PC1,PC2,PC3,PC4,PC5,PC6,y
4.704698842386437,-2.544984369525434,-2.340958741757089,-0.24364577410642646,2.3699032459723375,-0.9307617256054782,11
4.196406233323798,-3.177289392637802,-2.2607353887669213,-0.4064392269742681,1.185400855352689,-0.9504043693552208,11
4.596406449261942,-2.8794246364321787,-2.3070634148029456,-0.5788051619272895,1.8501411421379117,-0.5383203203767442,11
4.607869554672495,-2.3878424624487726,-2.6589135227168126,-0.4915587941381219,1.5753188268683624,-0.7334454049343264,11
4.788373394392145,-2.4289730026055363,-2.475070220539962,-0.3354799290238787,2.6122591817076772,-0.37998543502470267,11
4.712563369892561,-2.331797439253246,-2.6932130370481953,-0.527677925353145,1.8476718483700059,-0.5299795577923938,11
5.059095494079085,-2.611796186725561,-2.2984398545468174,-0.22756144813973853,2.5622074171115714,-0.2388577739296299,11
4.861578954514554,-2.4793529409702195,-2.0633172252376704,-0.21891061679074517,3.5217641568580356,-0.23979930073286906,11
5.29654954750147,-3.363438407022888,-1.3009618722204677,-1.0973708667142947,2.9175277587740505,-0.17147719763925068,12
5.171677942113876,-3.451347155293015,-0.9195586364464114,-1.1310732046279606,3.5038835795753727,0.0612059976607667,12
5.090653821541565,-3.579905339667142,-1.317869362470408,-1.4322939908799253,1.938151883676313,-0.14562878045056737,12
5.158282764809379,-3.443615558409201,-1.376935160434441,-1.4866293936585562,1.4238369219815803,-0.2953792084882162,12
5.217276067266127,-3.4102539603106266,-1.41692067421159,-1.343821497303523,1.9604385829867497,-0.2292612240511778,12
5.317090428930813,-3.310060023948095,-1.3694059363597588,-1.1573004044525608,2.684100195380727,-0.15993604500360928,12
5.17640210666814,-2.8841837830455725,-1.7391316559637289,-1.235035899190316,0.22181611941329715,-0.8295837609980728,12
5.369574504562489,-3.1772622745266204,-1.5042520030643316,-1.1094030540186508,2.6561905734967954,-0.18840391723797606,12
5.194934078528959,-3.440517156705731,-1.4707656895568955,-1.3518547485317358,1.7465212503772463,-0.20155614814203446,12
5.252496607083738,-3.1570541125326943,-1.6821717530466214,-1.2248850145132824,1.4881469486807142,-0.43125594294990643,12
7.0118565210290225,9.336983544877905,-4.665163801824023,2.5238871578414086,0.3323049346664798,-1.3368839844938185,13
7.668986038887236,9.76764945434035,-4.296990274443843,2.065883471238144,0.30342666208715685,-0.8208665418817275,13
7.89688294132731,9.977244469025988,-3.7604672883853896,1.1066748743874177,0.4055367141751532,-0.5776855001895079,13
7.256412866708812,10.244038197349573,-4.489106787603565,2.0596010763911097,0.35786631485343834,-0.8128120926555132,13
